business_id,email,plan_id,plan_name,plan_price,payment_platform_name
6d45896a-cfa6-42fc-a503-ae669e82fe4f,unique_business_7500@example.com,67e3838beba8bd1b999aa45c,Silver,50,Paypal
016e1e54-663a-4c64-86c0-ce5057c3f9cf,unique_business_7501@example.com,67e3838beba8bd1b999aa45c,Silver,50,Paypal
54a2f1c1-be35-4c09-80aa-18aee52cd50d,unique_business_7502@example.com,67e3838beba8bd1b999aa45c,Silver,50,Paypal
4b09651d-ab2c-4f5d-a80f-a1ff1d1128c2,unique_business_7503@example.com,67e3838beba8bd1b999aa45c,Silver,50,Stripe
f1c5502f-986a-4c14-9cb4-dcfef4940afb,unique_business_7504@example.com,67e3838beba8bd1b999aa45c,Silver,50,Stripe
eceb4330-021a-4ab3-9605-e9c72c3b1fe9,unique_business_7505@example.com,67e3838beba8bd1b999aa45c,Silver,50,Stripe
b3916064-4ce4-43cd-a551-542ad82fee99,unique_business_7506@example.com,67e3838beba8bd1b999aa45c,Silver,50,Paypal
6dae7e3f-7718-4d84-b2b1-3cc4917170cf,unique_business_7507@example.com,67e3838beba8bd1b999aa45c,Silver,50,Paypal
064c0386-caca-4393-bb63-1871068f087f,unique_business_7508@example.com,67e3838beba8bd1b999aa45c,Silver,50,Paypal
06a22357-9c94-489f-a77c-566e68bf0645,unique_business_7509@example.com,67e3838beba8bd1b999aa45c,Silver,50,Paypal
c0f959b3-3fbf-436d-8e30-740d974e321b,unique_business_7510@example.com,67e3838beba8bd1b999aa45c,Silver,50,Stripe
6221e35b-bb36-4c7b-be7c-e8728bdff372,unique_business_7511@example.com,67e3838beba8bd1b999aa45c,Silver,50,Stripe
9aa28417-5c11-4009-a192-f0f78e53bf31,unique_business_7512@example.com,67e3838beba8bd1b999aa45c,Silver,50,Stripe
31dc02d6-354c-47ef-bc47-01e2e9da6ec6,unique_business_7513@example.com,67e3838beba8bd1b999aa45c,Silver,50,Stripe
4518bf3c-ebc4-4456-9b88-ebe437d20c85,unique_business_7514@example.com,67e3838beba8bd1b999aa45c,Silver,50,Stripe
4a5ae437-f2ad-4117-b5b8-927c8be6ba3e,unique_business_7515@example.com,67e3838beba8bd1b999aa45c,Silver,50,Paypal
b5d24c74-89a0-42ee-af5e-8de40f418f22,unique_business_7516@example.com,67e3838beba8bd1b999aa45c,Silver,50,Paypal
9b7da47d-e9a4-4a8a-8364-a69d62b76ffd,unique_business_7517@example.com,67e3838beba8bd1b999aa45c,Silver,50,Paypal
6f6e3642-5def-4eef-9b76-191e3e0daf72,unique_business_7518@example.com,67e3838beba8bd1b999aa45c,Silver,50,Stripe
b6f62c97-6af9-4dda-9ad5-96355750bac0,unique_business_7519@example.com,67e3838beba8bd1b999aa45c,Silver,50,Paypal
6b57983d-468e-4a76-86dd-413c11e9c43a,unique_business_7520@example.com,67e3838beba8bd1b999aa45c,Silver,50,Stripe
f979d906-5640-43bd-a7f0-6a8664c34283,unique_business_7521@example.com,67e3838beba8bd1b999aa45c,Silver,50,Stripe
97b9125a-fcbd-40ef-85e3-3904649104a6,unique_business_7522@example.com,67e3838beba8bd1b999aa45c,Silver,50,Stripe
f044a490-ee07-4112-9d30-c728484067f1,unique_business_7523@example.com,67e3838beba8bd1b999aa45c,Silver,50,Paypal
049ec173-281a-41f3-8dc2-400aec19c5e4,unique_business_7524@example.com,67e3838beba8bd1b999aa45c,Silver,50,Stripe
51cc1196-bec4-42c1-88be-c1855d1d3846,unique_business_7525@example.com,67e3838beba8bd1b999aa45c,Silver,50,Paypal
2e2f281a-0007-4c93-bff0-e39af9715b3b,unique_business_7526@example.com,67e3838beba8bd1b999aa45c,Silver,50,Stripe
bbc4f1ba-0201-4487-8ae9-b99afca0fef6,unique_business_7527@example.com,67e3838beba8bd1b999aa45c,Silver,50,Paypal
d9fc42c6-a9ce-4579-be98-059ffe4905bf,unique_business_7528@example.com,67e3838beba8bd1b999aa45c,Silver,50,Stripe
e4dc46e6-0d9a-4daa-9290-29aa53c9e024,unique_business_7529@example.com,67e3838beba8bd1b999aa45c,Silver,50,Stripe
bba018d6-a09e-4716-9425-5b8a981a29c3,unique_business_7530@example.com,67e3838beba8bd1b999aa45c,Silver,50,Paypal
823b6c8c-8439-4ed4-8156-77b1e9323d40,unique_business_7531@example.com,67e3838beba8bd1b999aa45c,Silver,50,Paypal
6c11372c-ed35-43d4-9c4f-a3062a241ae8,unique_business_7532@example.com,67e3838beba8bd1b999aa45c,Silver,50,Stripe
585244f2-5162-4ac5-a1f1-81a848bdb47a,unique_business_7533@example.com,67e3838beba8bd1b999aa45c,Silver,50,Stripe
0232e4de-577c-47d2-965c-bf89e4ce9231,unique_business_7534@example.com,67e3838beba8bd1b999aa45c,Silver,50,Stripe
d0fb8ad7-0d9f-49e6-9282-463e70d61c5f,unique_business_7535@example.com,67e3838beba8bd1b999aa45c,Silver,50,Paypal
16928819-23f3-4280-b1a7-8833e86e4ff9,unique_business_7536@example.com,67e3838beba8bd1b999aa45c,Silver,50,Stripe
d4cfb79b-bfaa-45fe-a921-861ddc5a677b,unique_business_7537@example.com,67e3838beba8bd1b999aa45c,Silver,50,Stripe
490b9bd1-732b-436a-bb0c-948d338714e9,unique_business_7538@example.com,67e3838beba8bd1b999aa45c,Silver,50,Paypal
4496a236-faf7-4e3f-8bf9-638f1ac624b5,unique_business_7539@example.com,67e3838beba8bd1b999aa45c,Silver,50,Stripe
2c756a2d-c064-4038-bdca-50c0756ae868,unique_business_7540@example.com,67e3838beba8bd1b999aa45c,Silver,50,Stripe
e9697792-acda-4991-843f-f1704b247840,unique_business_7541@example.com,67e3838beba8bd1b999aa45c,Silver,50,Paypal
37a27077-89fd-4d4c-ac48-46b52e977e9d,unique_business_7542@example.com,67e3838beba8bd1b999aa45c,Silver,50,Paypal
1bcd47ab-a21f-4760-80d9-6e3e12a519a3,unique_business_7543@example.com,67e3838beba8bd1b999aa45c,Silver,50,Stripe
30ba655d-a342-4cfd-b717-ca43d260db46,unique_business_7544@example.com,67e3838beba8bd1b999aa45c,Silver,50,Paypal
7bc236a8-2164-4f97-8e0b-b6c45cb5cbe8,unique_business_7545@example.com,67e3838beba8bd1b999aa45c,Silver,50,Stripe
f46d33bc-46c4-4307-849c-a6f8cad07f15,unique_business_7546@example.com,67e3838beba8bd1b999aa45c,Silver,50,Stripe
